source,stage,expected,observed
model,raw,0.25,0.29615384615384616
model,raw,0.26,0.31153846153846154
model,raw,0.27,0.3269230769230769
model,raw,0.28,0.3384615384615385
model,raw,0.29000000000000004,0.3423076923076923
model,raw,0.3,0.3576923076923077
model,raw,0.31,0.3769230769230769
model,raw,0.32,0.3769230769230769
model,raw,0.33,0.38461538461538464
model,raw,0.34,0.3923076923076923
model,raw,0.35000000000000003,0.4
model,raw,0.36000000000000004,0.4153846153846154
model,raw,0.37,0.4230769230769231
model,raw,0.38,0.43846153846153846
model,raw,0.39,0.45
model,raw,0.4,0.4653846153846154
model,raw,0.41000000000000003,0.48846153846153845
model,raw,0.42000000000000004,0.49230769230769234
model,raw,0.43,0.49615384615384617
model,raw,0.44,0.5038461538461538
model,raw,0.45,0.5115384615384615
model,raw,0.46,0.5230769230769231
model,raw,0.47000000000000003,0.5346153846153846
model,raw,0.48000000000000004,0.5461538461538461
model,raw,0.49,0.55
model,raw,0.5,0.5538461538461539
model,raw,0.51,0.5692307692307692
model,raw,0.52,0.5923076923076923
model,raw,0.53,0.6076923076923076
model,raw,0.54,0.6230769230769231
model,raw,0.55,0.6269230769230769
model,raw,0.56,0.6423076923076924
model,raw,0.5700000000000001,0.6461538461538462
model,raw,0.5800000000000001,0.6576923076923077
model,raw,0.59,0.6653846153846154
model,raw,0.6,0.6692307692307692
model,raw,0.61,0.6730769230769231
model,raw,0.62,0.6923076923076923
model,raw,0.63,0.6961538461538461
model,raw,0.64,0.7038461538461539
model,raw,0.65,0.7115384615384616
model,raw,0.66,0.7230769230769231
model,raw,0.67,0.7346153846153847
model,raw,0.68,0.7461538461538462
model,raw,0.6900000000000001,0.7653846153846153
model,raw,0.7000000000000001,0.7769230769230769
model,raw,0.7100000000000001,0.7846153846153846
model,raw,0.72,0.7846153846153846
model,raw,0.73,0.7846153846153846
model,raw,0.74,0.7884615384615384
model,raw,0.75,0.7923076923076923
model,raw,0.76,0.8
model,raw,0.77,0.8
model,raw,0.78,0.8038461538461539
model,raw,0.79,0.8153846153846154
model,raw,0.8,0.8269230769230769
model,raw,0.81,0.8384615384615385
model,raw,0.8200000000000001,0.8423076923076923
model,raw,0.8300000000000001,0.8538461538461538
model,raw,0.8400000000000001,0.8653846153846154
model,raw,0.85,0.8653846153846154
model,raw,0.86,0.8769230769230769
model,raw,0.87,0.8923076923076924
model,raw,0.88,0.8923076923076924
model,raw,0.89,0.9
model,raw,0.9,0.9
model,raw,0.91,0.9
model,raw,0.92,0.9038461538461539
model,raw,0.93,0.9038461538461539
model,raw,0.9400000000000001,0.9115384615384615
model,raw,0.9500000000000001,0.9346153846153846
model,raw,0.9600000000000001,0.9461538461538461
model,raw,0.97,0.9461538461538461
model,raw,0.98,0.9615384615384616
model,raw,0.99,0.9692307692307692
ensemble,calibrated,0.01,0.0038461538461538464
ensemble,calibrated,0.02,0.007692307692307693
ensemble,calibrated,0.03,0.011538461538461539
ensemble,calibrated,0.04,0.011538461538461539
ensemble,calibrated,0.05,0.011538461538461539
ensemble,calibrated,0.060000000000000005,0.011538461538461539
ensemble,calibrated,0.06999999999999999,0.011538461538461539
ensemble,calibrated,0.08,0.011538461538461539
ensemble,calibrated,0.09,0.011538461538461539
ensemble,calibrated,0.09999999999999999,0.015384615384615385
