config,model_kind,n_seeds,seeds,unseeded_only,n_eval,prior_eval,encoder_family,encoder_init,encoder_target,embedding_native_dim,embedding_pca_dim,has_embedding,has_readout,readout_dim,has_descriptors,descriptor_sources,descriptor_pca_width,regressor,train_data,n_features,ffn_hidden_dim,freeze_epochs,gradient_clip_val,aux_use_observed_readout,aux_use_predicted_readout,encoder_finetune_target,aux_encoder_target,aux_readout_tasks,calibration,axes_source,mae_mean,mae_sd,rmse_mean,rmse_sd,rae_mean,rae_sd,r2_mean,r2_sd,kendall_tau_mean,kendall_tau_sd,spearman_rho_mean,spearman_rho_sd,config_fingerprint,spec_source
freeze0_hd512_clip5.0,gnn,0,,False,,phase1+phase2 pooled,chemprop,chemeleon_pretrained,,512,,True,False,512,False,,,N/A,drc_plus_primary,,512,0,5.0,False,False,pec50,log2fc,2,none,"configs/freeze*.yaml, configs/feat_*.yaml @ main",,,,,,,,,,,,,f123002dfa712469,parsed_config
freeze0_hd512_clipoff,gnn,0,,False,,phase1+phase2 pooled,chemprop,chemeleon_pretrained,,512,,True,False,512,False,,,N/A,drc_plus_primary,,512,0,,False,False,pec50,log2fc,2,none,"configs/freeze*.yaml, configs/feat_*.yaml @ main",,,,,,,,,,,,,f123002dfa712469,parsed_config
freeze1_hd1024_clip1.0,gnn,0,,False,,phase1+phase2 pooled,chemprop,chemeleon_pretrained,,1024,,True,False,1024,False,,,N/A,drc_plus_primary,,1024,1,1.0,False,False,pec50,log2fc,2,none,"configs/freeze*.yaml, configs/feat_*.yaml @ main",,,,,,,,,,,,,86de7f512c0736c3,parsed_config
freeze1_hd1024_clip5.0,gnn,0,,False,,phase1+phase2 pooled,chemprop,chemeleon_pretrained,,1024,,True,False,1024,False,,,N/A,drc_plus_primary,,1024,1,5.0,False,False,pec50,log2fc,2,none,"configs/freeze*.yaml, configs/feat_*.yaml @ main",,,,,,,,,,,,,86de7f512c0736c3,parsed_config
freeze1_hd1024_clipoff,gnn,0,,False,,phase1+phase2 pooled,chemprop,chemeleon_pretrained,,1024,,True,False,1024,False,,,N/A,drc_plus_primary,,1024,1,,False,False,pec50,log2fc,2,none,"configs/freeze*.yaml, configs/feat_*.yaml @ main",,,,,,,,,,,,,86de7f512c0736c3,parsed_config
freeze1_hd512_clip1.0,gnn,0,,False,,phase1+phase2 pooled,chemprop,chemeleon_pretrained,,512,,True,False,512,False,,,N/A,drc_plus_primary,,512,1,1.0,False,False,pec50,log2fc,2,none,"configs/freeze*.yaml, configs/feat_*.yaml @ main",,,,,,,,,,,,,f123002dfa712469,parsed_config
freeze1_hd512_clip5.0,gnn,0,,False,,phase1+phase2 pooled,chemprop,chemeleon_pretrained,,512,,True,False,512,False,,,N/A,drc_plus_primary,,512,1,5.0,False,False,pec50,log2fc,2,none,"configs/freeze*.yaml, configs/feat_*.yaml @ main",,,,,,,,,,,,,f123002dfa712469,parsed_config
freeze1_hd512_clipoff,gnn,0,,False,,phase1+phase2 pooled,chemprop,chemeleon_pretrained,,512,,True,False,512,False,,,N/A,drc_plus_primary,,512,1,,False,False,pec50,log2fc,2,none,"configs/freeze*.yaml, configs/feat_*.yaml @ main",,,,,,,,,,,,,f123002dfa712469,parsed_config
freeze2_hd1024_clip1.0,gnn,0,,False,,phase1+phase2 pooled,chemprop,chemeleon_pretrained,,1024,,True,False,1024,False,,,N/A,drc_plus_primary,,1024,2,1.0,False,False,pec50,log2fc,2,none,"configs/freeze*.yaml, configs/feat_*.yaml @ main",,,,,,,,,,,,,86de7f512c0736c3,parsed_config
freeze2_hd1024_clip5.0,gnn,0,,False,,phase1+phase2 pooled,chemprop,chemeleon_pretrained,,1024,,True,False,1024,False,,,N/A,drc_plus_primary,,1024,2,5.0,False,False,pec50,log2fc,2,none,"configs/freeze*.yaml, configs/feat_*.yaml @ main",,,,,,,,,,,,,86de7f512c0736c3,parsed_config
freeze2_hd1024_clipoff,gnn,0,,False,,phase1+phase2 pooled,chemprop,chemeleon_pretrained,,1024,,True,False,1024,False,,,N/A,drc_plus_primary,,1024,2,,False,False,pec50,log2fc,2,none,"configs/freeze*.yaml, configs/feat_*.yaml @ main",,,,,,,,,,,,,86de7f512c0736c3,parsed_config
freeze2_hd512_clip1.0,gnn,0,,False,,phase1+phase2 pooled,chemprop,chemeleon_pretrained,,512,,True,False,512,False,,,N/A,drc_plus_primary,,512,2,1.0,False,False,pec50,log2fc,2,none,"configs/freeze*.yaml, configs/feat_*.yaml @ main",,,,,,,,,,,,,f123002dfa712469,parsed_config
freeze2_hd512_clip5.0,gnn,0,,False,,phase1+phase2 pooled,chemprop,chemeleon_pretrained,,512,,True,False,512,False,,,N/A,drc_plus_primary,,512,2,5.0,False,False,pec50,log2fc,2,none,"configs/freeze*.yaml, configs/feat_*.yaml @ main",,,,,,,,,,,,,f123002dfa712469,parsed_config
pxr_baseline_chemeleon_pec50,gnn,0,,False,,phase1+phase2 pooled,chemprop,chemeleon_pretrained,pec50,,,True,False,,False,,,N/A,drc_only,,1024,0,0.5,,,pec50,none,,none,configs/e4_*.yaml @ main,,,,,,,,,,,,,cba892fb47dc66c9,anvil_recipe
tabpfn_pec50_chemeleon_full,tabular,0,,True,,phase1+phase2 pooled,chemprop,chemeleon_pretrained,pec50,2048,256,True,False,,True,all,256,tabpfn,drc_plus_primary,512,,,,,,pec50,none,,none,recorded,,,,,,,,,,,,,16e6e2076ced6629,convention
tabpfn_uncertainty_mordred_pca128,tabular,0,,True,,phase1+phase2 pooled,chemprop,scratch,log2fc,256,,True,True,2,True,mordred,128,tabpfn,drc_plus_primary,386,,,,,,log2fc,none,,none,recorded,,,,,,,,,,,,,8fa7abaf5b2eb8dd,launch_script
